1.001001,1.001001,1.001001,??0.001000
1.002002,1.002002,1.002002,??0.002000
1.003005,1.003005,1.003005,??0.003000
1.004008,1.004008,1.004008,??0.004000
1.005013,1.005013,1.005013,??0.005000
1.006018,1.006018,1.006018,??0.006000
1.007025,1.007025,1.007025,??0.007000
1.008032,1.008032,1.008032,??0.008000
1.009041,1.009041,1.009041,??0.009000
1.010050,1.010050,1.010050,??0.010000
1.011061,1.011061,1.011061,??0.011000
1.012072,1.012072,1.012072,??0.012000
1.013085,1.013085,1.013085,??0.013000
1.014098,1.014098,1.014098,??0.014000
1.015113,1.015113,1.015113,??0.015000
1.016129,1.016129,1.016129,??0.016000
1.017145,1.017145,1.017145,??0.017000
1.018163,1.018163,1.018163,??0.018000
1.019182,1.019182,1.019182,??0.019000
1.020201,1.020201,1.020201,??0.020000
1.021222,1.021222,1.021222,??0.021000
1.022244,1.022244,1.022244,??0.022000
1.023267,1.023267,1.023267,??0.023000
1.024290,1.024290,1.024290,??0.024000
1.025315,1.025315,1.025315,??0.025000
1.026341,1.026341,1.026341,??0.026000
1.027368,1.027368,1.027368,??0.027000
1.028396,1.028396,1.028396,??0.028000
1.029425,1.029425,1.029425,??0.029000
1.030455,1.030455,1.030455,??0.030000
1.031486,1.031486,1.031486,??0.031000
1.032518,1.032518,1.032518,??0.032000
1.033551,1.033551,1.033551,??0.033000
1.034585,1.034585,1.034585,??0.034000
1.035620,1.035620,1.035620,??0.035000
1.036656,1.036656,1.036656,??0.036000
1.037693,1.037693,1.037693,??0.037000
1.038731,1.038731,1.038731,??0.038000
1.039770,1.039770,1.039770,??0.039000
1.040811,1.040811,1.040811,??0.040000
1.041852,1.041852,1.041852,??0.041000
1.042894,1.042894,1.042894,??0.042000
1.043938,1.043938,1.043938,??0.043000
1.044982,1.044982,1.044982,??0.044000
1.046028,1.046028,1.046028,??0.045000
1.047074,1.047074,1.047074,??0.046000
1.048122,1.048122,1.048122,??0.047000
1.049171,1.049171,1.049171,??0.048000
1.050220,1.050220,1.050220,??0.049000
1.051271,1.051271,1.051271,??0.050000
1.052323,1.052323,1.052323,??0.051000
1.053376,1.053376,1.053376,??0.052000
1.054430,1.054430,1.054430,??0.053000
1.055485,1.055485,1.055485,??0.054000
1.056541,1.056541,1.056541,??0.055000
1.057598,1.057598,1.057598,??0.056000
1.058656,1.058656,1.058656,??0.057000
1.059715,1.059715,1.059715,??0.058000
1.060775,1.060775,1.060775,??0.059000
1.061837,1.061837,1.061837,??0.060000
1.062899,1.062899,1.062899,??0.061000
1.063962,1.063962,1.063962,??0.062000
1.065027,1.065027,1.065027,??0.063000
